food_id,food_name,category,calories,protein,fat,carbs,iron,calcium,vitaminA,vitaminC,folate,region
38,Sudha roti (flatbread),Bread,130,4,3,22,1.0,15,0,0,10,hilly
39,Kodo ko roti (millet),Bread,150,5,3,28,1.5,20,0,0,15,hilly
40,Sargemba (blood sausage),Meat,250,14,0,20,3.0,35,0,0,5,himalayan
41,Rikikur (potato pancake),Snack,170,3,7,25,0.5,20,0,0,10,hilly
42,Rildhuk (potato soup),Soup,180,4,3,30,0.5,25,0,0,10,hilly
43,Singhal (bread),Snack,160,4,5,26,1.0,20,0,0,15,hilly
44,Puwa (rice cake),Dessert,175,4,4,32,1.0,22,0,0,15,hilly
45,Chaku haluwa (jaggery dessert),Dessert,300,1,15,40,0.5,10,0,0,5,terai
46,Gobhi tarkari (cauliflower),Vegetable,110,3,0,7,0.5,45,0,0,25,terai
47,Bhindi tarkari (okra),Vegetable,90,2,0,5,0.5,30,0,0,20,terai
48,Pumpkin curry,Curry,90,2,0,12,0.5,10,200,10,25,hilly
49,Palung saag (swiss chard),Vegetable,35,2,0.3,5,2.0,20,180,20,40,himalayan
50,Chicken Egg,Meat,155,13,11,1.1,1.2,50,140,0,47,all
51,Duck Egg,Meat,185,13,14,1.2,3.3,64,300,2,60,all
52,Quail Egg,Meat,158,13,11,0.4,3.6,64,160,1,80,all
53,Buffalo Meat,Meat,250,20,18,0,3.2,15,0,0,5,terai
54,Goat Meat,Meat,122,20,3,0,2.7,10,0,0,4,terai
55,Chicken Meat,Meat,239,27,14,0,1.3,11,0,0,5,all
56,Fish (Rohu),Meat,206,19,12,0,1.1,20,0,0,5,terai
57,Spinach,Vegetable,23,2.9,0.4,3.6,2.7,99,469,28,194,terai
58,Mustard Greens,Vegetable,27,2.9,0.4,4.7,1.9,115,360,70,120,terai
59,Pumpkin,Vegetable,26,1,0.1,7,0.8,21,426,9,16,hilly
60,Cauliflower,Vegetable,25,1.9,0.3,5,0.4,22,0,48,57,terai
61,Carrot,Vegetable,41,0.9,0.2,10,0.3,33,835,6,19,terai
62,Tomato,Vegetable,18,0.9,0.2,3.9,0.3,18,833,14,15,terai
63,Potato,Vegetable,77,2,0.1,17,0.8,12,2,20,15,terai
64,Green Peas,Vegetable,81,5,0.4,14,1.5,25,38,40,65,terai
65,Sel Roti (sweet rice bread),Dessert,360,5,10,65,1.0,20,0,0,20,hilly
66,Tharu Bhat (sticky rice),Staple,350,7,1,75,1.5,15,0,0,10,terai
67,Maithili Fish Curry,Meat,220,20,12,0,1.2,20,0,0,5,terai
68,Newari Choila (spiced grilled meat),Meat,260,22,18,0,2.0,25,0,0,5,hilly
69,Yak Cheese,Dairy,350,20,28,2,0.3,150,0,0,5,himalayan
70,Gundruk ko Achar (fermented greens pickle),Condiment,30,1,0,5,1.0,20,10,5,10,hilly
71,Walnuts,Nuts,654,15,65,14,2.9,98,20,1,98,hilly
72,Peanuts,Nuts,567,26,49,16,4.6,92,0,0,240,hilly
73,Sesame Seeds (Til),Nuts,573,18,50,23,14.6,975,0,0,97,hilly
74,Turmeric (powder),Spice,312,10,3,67,55,168,0,0,45,hilly
75,Ginger (fresh),Spice,80,2,0.7,18,0.6,16,0,5,11,hilly
76,Amla (Indian Gooseberry),Fruit,44,1,0.6,10,0.3,25,7400,27,5,hilly
77,Lapsi (Nepali Hog Plum),Fruit,48,0.8,0.2,12,0.5,10,300,10,4,hilly
78,Wild Mushroom (various),Vegetable,22,3,0.3,4,0.3,10,0,0,10,hilly
79,Chiya (milk tea),Drink,50,2,1,5,0.2,100,0,0,5,terai
80,Til (sesame seed) Laddu,Dessert,400,12,20,40,7.0,150,0,0,20,hilly
